Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,02/10/2025 16:45,Arena Lublin,Dynamo Kyiv,Crystal Palace,
2,1,02/10/2025 16:45,Poznan Stadium,Lech Poznan,SK Rapid,
3,1,02/10/2025 16:45,TBA,Rayo Vallecano,Shkëndija,
4,1,02/10/2025 16:45,GSP,Omonoia,Mainz,
5,1,02/10/2025 16:45,Stadion Miejski w Bialymstoku,Jagiellonia,Hamrun Spartans,
6,1,02/10/2025 16:45,Stadium of HŠK Zrinjski,Zrinjski,L. Red Imps,
7,1,02/10/2025 16:45,Tammelan Stadion,KuPS Kuopio,Drita,
8,1,02/10/2025 16:45,Stade de la Tuilière,Lausanne-Sport,Breiðablik,
9,1,02/10/2025 16:45,Republican Stadium after Vazgen Sargsyan,Noah,Rijeka,
10,1,02/10/2025 19:00,Stadio Artemio Franchi,Fiorentina,Sigma Olomouc,
11,1,02/10/2025 19:00,Národný futbalový štadión,S. Bratislava,Strasbourg,
12,1,02/10/2025 19:00,The Marshall Józef Pilsudski's Municipal Stadium o,Legia Warszawa,Samsunspor,
13,1,02/10/2025 19:00,Stadion Letná,Sparta Praha,Shamrock Rovers,
14,1,02/10/2025 19:00,Stadion Celje,Celje,AEK Athens,
15,1,02/10/2025 19:00,Pittodrie Stadium,Aberdeen,Shakhtar,
16,1,02/10/2025 19:00,Zaglebiowski Park Sportowy,Raków,U. Craiova,
17,1,02/10/2025 19:00,AEK Arena,AEK Larnaca,AZ Alkmaar,
18,1,02/10/2025 19:00,Tallaght Stadium,Shelbourne,Häcken,
19,2,23/10/2025 16:45,Municipal Henryk Reyman’s Stadium in Krakow,Shakhtar,Legia Warszawa,
20,2,23/10/2025 16:45,Weststadion,SK Rapid,Fiorentina,
21,2,23/10/2025 16:45,Stade de La Meinau,Strasbourg,Jagiellonia,
22,2,23/10/2025 16:45,Stadion HNK Rijeka,Rijeka,Sparta Praha,
23,2,23/10/2025 16:45,AEK Arena,AEK Athens,Aberdeen,
24,2,23/10/2025 16:45,Stadiumi Fadil Vokrri,Drita,Omonoia,
25,2,23/10/2025 16:45,Laugardalsvöllur,Breiðablik,KuPS Kuopio,
26,2,23/10/2025 16:45,National Arena Todor Proeski,Shkëndija,Shelbourne,
27,2,23/10/2025 16:45,Gamla Ullevi,Häcken,Rayo Vallecano,
28,2,23/10/2025 19:00,AZ Stadion,AZ Alkmaar,S. Bratislava,
29,2,23/10/2025 19:00,Selhurst Park,Crystal Palace,AEK Larnaca,
30,2,23/10/2025 19:00,Tallaght Stadium,Shamrock Rovers,Celje,
31,2,23/10/2025 19:00,Mainz Arena,Mainz,Zrinjski,
32,2,23/10/2025 19:00,TBA,L. Red Imps,Lech Poznan,
33,2,23/10/2025 19:00,Andruv stadion,Sigma Olomouc,Raków,
34,2,23/10/2025 19:00,Samsun Yeni 19 Mayis Stadium,Samsunspor,Dynamo Kyiv,
35,2,23/10/2025 19:00,Ion Oblemenco stadium,U. Craiova,Noah,
36,2,23/10/2025 19:00,National Stadium,Hamrun Spartans,Lausanne-Sport,
37,3,06/11/2025 17:45,Municipal Henryk Reyman’s Stadium in Krakow,Shakhtar,Breiðablik,
38,3,06/11/2025 17:45,Stadion Letná,Sparta Praha,Raków,
39,3,06/11/2025 17:45,Mainz Arena,Mainz,Fiorentina,
40,3,06/11/2025 17:45,Stadion Celje,Celje,Legia Warszawa,
41,3,06/11/2025 17:45,Tammelan Stadion,KuPS Kuopio,S. Bratislava,
42,3,06/11/2025 17:45,AEK Arena,AEK Athens,Shamrock Rovers,
43,3,06/11/2025 17:45,Samsun Yeni 19 Mayis Stadium,Samsunspor,Hamrun Spartans,
44,3,06/11/2025 17:45,AEK Arena,AEK Larnaca,Aberdeen,
45,3,06/11/2025 17:45,Republican Stadium after Vazgen Sargsyan,Noah,Sigma Olomouc,
46,3,06/11/2025 20:00,Weststadion,SK Rapid,U. Craiova,
47,3,06/11/2025 20:00,Arena Lublin,Dynamo Kyiv,Zrinjski,
48,3,06/11/2025 20:00,Selhurst Park,Crystal Palace,AZ Alkmaar,
49,3,06/11/2025 20:00,TBA,Rayo Vallecano,Lech Poznan,
50,3,06/11/2025 20:00,TBA,L. Red Imps,Rijeka,
51,3,06/11/2025 20:00,National Arena Todor Proeski,Shkëndija,Jagiellonia,
52,3,06/11/2025 20:00,Gamla Ullevi,Häcken,Strasbourg,
53,3,06/11/2025 20:00,Stade de la Tuilière,Lausanne-Sport,Omonoia,
54,3,06/11/2025 20:00,Tallaght Stadium,Shelbourne,Drita,
55,4,27/11/2025 17:45,AZ Stadion,AZ Alkmaar,Shelbourne,
56,4,27/11/2025 17:45,Národný futbalový štadión,S. Bratislava,Rayo Vallecano,
57,4,27/11/2025 17:45,Poznan Stadium,Lech Poznan,Lausanne-Sport,
58,4,27/11/2025 17:45,GSP,Omonoia,Dynamo Kyiv,
59,4,27/11/2025 17:45,Stadium of HŠK Zrinjski,Zrinjski,Häcken,
60,4,27/11/2025 17:45,Andruv stadion,Sigma Olomouc,Celje,
61,4,27/11/2025 17:45,Zaglebiowski Park Sportowy,Raków,SK Rapid,
62,4,27/11/2025 17:45,Ion Oblemenco stadium,U. Craiova,Mainz,
63,4,27/11/2025 17:45,National Stadium,Hamrun Spartans,L. Red Imps,
64,4,27/11/2025 20:00,Stadio Artemio Franchi,Fiorentina,AEK Athens,
65,4,27/11/2025 20:00,The Marshall Józef Pilsudski's Municipal Stadium o,Legia Warszawa,Sparta Praha,
66,4,27/11/2025 20:00,Tallaght Stadium,Shamrock Rovers,Shakhtar,
67,4,27/11/2025 20:00,Stade de La Meinau,Strasbourg,Crystal Palace,
