Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,24/09/2025 16:45,Toumba Stadium,PAOK,M. Tel-Aviv,
2,1,24/09/2025 16:45,Arena Herning,Midtjylland,Sturm Graz,
3,1,24/09/2025 19:00,Stadion Maksimir,GNK Dinamo,Fenerbahçe,
4,1,24/09/2025 19:00,La Cartuja de Sevilla,Real Betis,Nott'm Forest,
5,1,24/09/2025 19:00,Estádio Municipal de Braga,Braga,Feyenoord,
6,1,24/09/2025 19:00,Stadion Rajko Mitic,Crvena Zvezda,Celtic,
7,1,24/09/2025 19:00,Stadion am Wolfswinkel,Freiburg,Basel,
8,1,24/09/2025 19:00,Grand Stade de Nice,Nice,Roma,
9,1,24/09/2025 19:00,Malmö New Stadium,Malmö,Ludogorets,
10,1,25/09/2025 16:45,Stade Pierre Mauroy,Lille,Brann,
11,1,25/09/2025 16:45,Stadion De Adelaarshorst,Go Ahead Eagles,FCSB,
12,1,25/09/2025 19:00,Ibrox Stadium,Rangers,Genk,
13,1,25/09/2025 19:00,Stadion Salzburg,Salzburg,Porto,
14,1,25/09/2025 19:00,Villa Park,Aston Villa,Bologna,
15,1,25/09/2025 19:00,Ferencváros Stadion,Ferencváros,Viktoria Plzen,
16,1,25/09/2025 19:00,Stadion Wankdorf,Young Boys,Panathinaikos,
17,1,25/09/2025 19:00,Arena Stuttgart,Stuttgart,Celta,
18,1,25/09/2025 19:00,Stadion Galgenwaard,Utrecht,Lyon,
19,2,02/10/2025 16:45,Stadio Olimpico,Roma,Lille,
20,2,02/10/2025 16:45,Fenerbahçe Sükrü Saracoglu Spor Kompleksi,Fenerbahçe,Nice,
21,2,02/10/2025 16:45,Stadion mesta Plzne,Viktoria Plzen,Malmö,
22,2,02/10/2025 16:45,Celtic Park,Celtic,Braga,
23,2,02/10/2025 16:45,Ludogorets Arena,Ludogorets,Real Betis,
24,2,02/10/2025 16:45,National Arena,FCSB,Young Boys,
25,2,02/10/2025 16:45,Stadio Renato Dall'Ara,Bologna,Freiburg,
26,2,02/10/2025 16:45,Olympic Athletic Center of Athens ""Spyros Louis"",Panathinaikos,Go Ahead Eagles,
27,2,02/10/2025 16:45,Brann Stadion,Brann,Utrecht,
28,2,02/10/2025 19:00,Estádio do Dragão,Porto,Crvena Zvezda,
29,2,02/10/2025 19:00,Stadion Feijenoord 'De Kuip',Feyenoord,Aston Villa,
30,2,02/10/2025 19:00,OL Stadium,Lyon,Salzburg,
31,2,02/10/2025 19:00,TSC Arena,M. Tel-Aviv,GNK Dinamo,
32,2,02/10/2025 19:00,St. Jakob-Park,Basel,Stuttgart,
33,2,02/10/2025 19:00,City Ground,Nott'm Forest,Midtjylland,
34,2,02/10/2025 19:00,Stadion Graz Liebenau,Sturm Graz,Rangers,
35,2,02/10/2025 19:00,ESTADIO ABANCA BALAIDOS,Celta,PAOK,
36,2,02/10/2025 19:00,KRC Genk Arena,Genk,Ferencváros,
37,3,23/10/2025 16:45,Stadion Feijenoord 'De Kuip',Feyenoord,Panathinaikos,
38,3,23/10/2025 16:45,Stadion Salzburg,Salzburg,Ferencváros,
39,3,23/10/2025 16:45,Fenerbahçe Sükrü Saracoglu Spor Kompleksi,Fenerbahçe,Stuttgart,
40,3,23/10/2025 16:45,Estádio Municipal de Braga,Braga,Crvena Zvezda,
41,3,23/10/2025 16:45,OL Stadium,Lyon,Basel,
